AFGHANISTAN,AFGHANISTAN
ALBANIA,ALBANIA
ALGERIA,ALGERIA
AMERICAN SAMOA,AMERICAN SAMOA
ANDORRA,ANDORRA
ANGOLA,ANGOLA
ANGUILLA,ANGUILLA
ANTARCTICA,ANTARCTICA
ANTIGUA AND BARBUDA,ANTIGUA AND BARBUDA
ARGENTINA,ARGENTINA
ARMENIA,ARMENIA
ARUBA,ARUBA
AUSTRALIA,AUSTRALIA
AUSTRIA,AUSTRIA
AZERBAIJAN,AZERBAIJAN
BAHAMAS,BAHAMAS
BAHRAIN,BAHRAIN
BANGLADESH,BANGLADESH
BARBADOS,BARBADOS
BELARUS,BELARUS
BELGIUM,BELGIUM
BELIZE,BELIZE
BENIN,BENIN
BERMUDA,BERMUDA
BHUTAN,BHUTAN
BOLIVIA,BOLIVIA
BOSNIA AND HERZEGOVINA,BOSNIA AND HERZEGOVINA
BOTSWANA,BOTSWANA
BRAZIL,BRAZIL
BRUNEI DARUSSALAM,BRUNEI
BULGARIA,BULGARIA
BURKINA FASO,BURKINA FASO
BURUNDI,BURUNDI
CAMBODIA,CAMBODIA
CAMEROON,CAMEROON
CANADA,CANADA
CAPE VERDE,CAPE VERDE
CAYMAN ISLANDS,CAYMAN ISLANDS
CENTRAL AFRICAN REPUBLIC,CENTRAL AFRICAN REPUBLIC
CHAD,CHAD
CHILE,CHILE
CHINA,CHINA
CHRISTMAS ISLAND,CHRISTMAS ISLAND
KEELING ISLANDS,COCOS ISLANDS
COLOMBIA,COLOMBIA
COMOROS,COMOROS
DEMOCRATIC REPUBLIC OF THE CONGO,CONGO
REPUBLIC OF CONGO,CONGO
COOK ISLANDS,COOK ISLANDS
COSTA RICA,COSTA RICA
IVORY COAST,IVORY COAST
CROATIA,CROATIA
CUBA,CUBA
CYPRUS,CYPRUS
CZECH REPUBLIC,CZECH REPUBLIC
DENMARK,DENMARK
DJIBOUTI,DJIBOUTI
DOMINICA,DOMINICA
DOMINICAN REPUBLIC,DOMINICAN REPUBLIC
TIMOR-LESTE,EAST TIMOR
ECUADOR,ECUADOR
EGYPT,EGYPT
EL SALVADOR,EL SALVADOR
EQUATORIAL GUINEA,EQUATORIAL GUINEA
ERITREA,ERITREA
ESTONIA,ESTONIA
ETHIOPIA,ETHIOPIA
FALKLAND ISLANDS,FALKLAND ISLANDS
FAROE ISLANDS,FAROE ISLANDS
FIJI,FIJI
FINLAND,FINLAND
FRANCE,FRANCE
FRENCH GUIANA,FRENCH GUIANA
FRENCH POLYNESIA,FRENCH POLYNESIA
FRENCH SOUTHERN TERRITORIES,FRENCH SOUTHERN TERRITORIES
GABON,GABON
GAMBIA,GAMBIA
GEORGIA,GEORGIA
GERMANY,GERMANY
GHANA,GHANA
GIBRALTAR,GIBRALTAR
GREAT BRITAIN,GREAT BRITAIN
GREECE,GREECE
GREENLAND,GREENLAND
GRENADA,GRENADA
GUADELOUPE,GUADELOUPE
GUAM,GUAM
GUATEMALA,GUATEMALA
GUINEA,GUINEA
GUINEA-BISSAU,GUINEA-BISSAU
GUYANA,GUYANA
HAITI,HAITI
HOLY SEE,HOLY SEE
HONDURAS,HONDURAS
HONG KONG,HONG KONG
HUNGARY,HUNGARY
ICELAND,ICELAND
INDIA,INDIA
INDONESIA,INDONESIA
ISLAMIC REPUBLIC OF IRAN,IRAN
IRAQ,IRAQ
IRELAND,IRELAND
