METAL,COUNTRY,STANDARD SMELTER NAME,KEY TERM 1,KEY TERM 2,KEY TERM 3,KEY TERM 4,V2 Smelter ID,V3 Smelter ID, , 
Gold,AUSTRALIA,Western Australian Mint trading as The Perth Mint,Perth,Australian,AGR,Matthey,1AUS046,CID002030,,
Gold,BELGIUM,Umicore SA Business Unit Precious Metals Refining,Feingold,Umicore SA,,,1BEL062,CID001980,,
Gold,BRAZIL,AngloGold Ashanti Córrego do Sítio Minerção,AngloGold,Ashanti,Córrego,,1BRA003,CID000058,,
Gold,BRAZIL,Umicore Brasil Ltda,Umiore Brasil, ,,,1BRA061,CID001977,,
Gold,CANADA,CCR Refinery – Glencore Canada Corporation,CCR,Glencore,,,1CAN064,CID000185,,
Gold,CANADA,Johnson Matthey Ltd,Matthey Ltd,Matthey Canada,,,1CAN024,CID000924,,
Gold,CANADA,Royal Canadian Mint,Canadian, ,,,1CAN050,CID001534,,
Gold,CHINA,China National Gold Group Corporation,China National,,,, ,CID000242,,
Gold,CHINA,Daye Non-Ferrous Metals Mining Ltd.,Daye,,,, ,CID000343,,
Gold,CHINA,Gansu Seemine Material Hi-Tech Co Ltd,Gansu,Seemine,,, ,CID000522,,
Gold,CHINA,Guangdong Jinding Gold Limited,Guangdong Jinding,HeTai,,, ,CID002312,,
Gold,CHINA,"Hangzhou Fuchunjiang Smelting Co., Ltd.",Hangzhou Fuchunjiang,,,, ,CID000671,,
Gold,CHINA,Hunan Chenzhou Mining Industry Group,Hunan Chenzhou, ,,, ,CID000767,,
Gold,CHINA,Inner Mongolia Qiankun Gold and Silver Refinery Share Company Limited,Mongolia,Qiankun,,,1CHN020,CID000801,,
Gold,CHINA,Jiangxi Copper Company Limited,Jiangxi Copper, ,,,1CHN023,CID000855,,
Gold,CHINA,Lingbao Jinyuan Tonghui Refinery Co. Ltd.,Lingbao Jinyuan,Tonghu,,, ,CID001058,,
