Metal,Smelter Reference List,Standard Smelter Names,Smelter Facility Location Country,Smelter ID,Smelter Facility Location Street Address,Smelter Facility Location City,Smelter Facility Location State / Province,Smelter Facility Contact Name,Smelter Facility Contact Email
Gold,,,,Not Supplied,,,,,
Gold,Jiangxi Copper Company Limited,Jiangxi Copper Company Limited,,1CHN023,,,,,
Gold,"AGR Matthey
Western Australian Mint trading as The Perth Mint","AGR Matthey
Western Australian Mint trading as The Perth Mint",AUSTRALIA,Not Listed,Not Reported,Perth,Western Australia,Victor,wh80.park@samsung.com
Gold,Heesung Metal Ltd,Heesung Metal Ltd,AUSTRALIA,Not Listed,"Western Australia Mint
Perth, Australia",Not Reported,Not Reported,Not Reported,Not Reported
Gold,"The Perth Mint
Western Australian Mint trading as The Perth Mint","The Perth Mint
Western Australian Mint trading as The Perth Mint",AUSTRALIA,1AUS046,"131 Horrie Miller Drive, Perth Airport, Western Australia",Perth,Newburn,Not Reported,Not Reported
Gold,Perth Mint (Western Australia Mint),Western Australian Mint trading as The Perth Mint,AUSTRALIA,1AUS046,131 Horrie Miller Drive,Perth,Western Australia,David Woodford,
Gold,Perth Mint (Western Australia Mint),Western Australian Mint trading as The Perth Mint,AUSTRALIA,1AUS046,131 Horrie Miller Drive,Newburn,"Western Australia, WA6105",,
Gold,AGR Matthey,Western Australian Mint trading as The Perth Mint,AUSTRALIA,1AUS046,,,,,
Gold,Western Australian Mint trading as The Perth Mint,Western Australian Mint trading as The Perth Mint,AUSTRALIA,1AUS046,,,,,
Gold,Perth Mint (Western Australia Mint),Western Australian Mint trading as The Perth Mint,AUSTRALIA,1AUS046,131 Horrie Miller Drive,Perth Airpot,Western Australia,JERRY HICKS,Kelly.Wishart@anz.com
Gold,Perth Mint (Western Australia Mint),Western Australian Mint trading as The Perth Mint,AUSTRALIA,1AUS046,131 Horrie Miller Drive,Cloverdale,Western Australia,David Woodford,david.woodford@perthmint.com.au
Gold,AGR Matthey,Western Australian Mint trading as The Perth Mint,AUSTRALIA,1AUS046,,,,,
Gold,Western Australian Mint trading as The Perth Mint,Western Australian Mint trading as The Perth Mint,AUSTRALIA,1AUS046,"131 Horrie Miller Drive, Perth Airport, Western Australia",Australia,"Horrie Miller Drive, Perth Airport",Jerry Hicks,pmds@perthmint.com.au|NA
Gold,Western Australian Mint trading as The Perth Mint,Western Australian Mint trading as The Perth Mint,AUSTRALIA,1AUS046,"131 Horrie Miller Drive, Perth Airport, Western Australia",Perth,Western Australia,Not Reported,Not Reported
Gold,AGR Matthey,Western Australian Mint trading as The Perth Mint,AUSTRALIA,1AUS046,,,,,
Gold,Perth Mint (Western Australia Mint),Western Australian Mint trading as The Perth Mint,AUSTRALIA,1AUS046,AUSTRALIA,131 Horrie Miller Drive,Perth Airpot,David Woodford,david.woodford@perthmint.com.au
Gold,Perth Mint (Western Australia Mint),Western Australian Mint trading as The Perth Mint,,1AUS046,131 Horrie Miller Drive,Newburn,Western Australia,David Woodford,david.woodford@perthmint.com.au
Gold,Perth Mint (Western Australia Mint),Western Australian Mint trading as The Perth Mint,AUSTRALIA,,,,,,
Gold,,Western Australian Mint trading as The Perth Mint,AUSTRALIA,1AUS046,,,,,
Gold,The Perth Mint,Western Australian Mint trading as The Perth Mint,AUSTRALIA,1AUS046,131 Horrie Miller Drive,Perth Airpot,Western Australia,David Woodford,david.woodford@perthmint.com.au
Gold,Western Australian Mint,Western Australian Mint trading as The Perth Mint,AUSTRALIA,1AUS046,,,,,
Gold,Western Australian Mint trading as The Perth Mint,Western Australian Mint trading as The Perth Mint,AUSTRALIA,1AUS046,,,,,
Gold,Perth Mint (Western Australia Mint),Western Australian Mint trading as The Perth Mint,AUSTRALIA,1AUS046,131 Horrie Miller Drive,Perth Airpot,Western Australia,David Woodford,david.woodford@perthmint.com.au
Gold,"Imicore / Unicore SA
Umicore SA Business Unit Precious Metals Refining","Imicore / Unicore SA
Umicore SA Business Unit Precious Metals Refining",BELGIUM,1BEL062,"Broekstraat 31
1000 City of Brussels, Belgium",Hoboken,Not Reported,Not Reported,Not Reported
Gold,Umicore SA Business Unit Precious Metals Refining,Umicore SA,BELGIUM,1BEL062,"Broekstraat 31
1000 City of Brussels, Belgium",Hoboken,Not Reported,Mrs. Chantal de Bruyn,Not Reported
Gold,Umicore SA Business Unit Precious Metals Refining,Umicore SA Business Unit Precious Metals Refining,BELGIUM,1BEL062,,,,,NA
Gold,Umicore Precious Metals Refining,Umicore SA Business Unit Precious Metals Refining,BELGIUM,1BEL062,,,,,
